"Date","Price","Open","High","Low","Change %"
"Jun 21, 2020","817.30","817.30","817.30","817.30","0.00%"
"Jun 19, 2020","817.30","817.54","825.08","812.06","-0.03%"
"Jun 18, 2020","817.54","801.59","818.49","801.01","1.99%"
"Jun 17, 2020","801.59","784.25","805.07","784.07","2.21%"
"Jun 16, 2020","784.25","783.28","786.51","771.40","0.12%"
"Jun 15, 2020","783.28","792.26","802.95","782.35","-1.13%"
"Jun 12, 2020","792.26","792.75","796.04","782.57","-0.06%"
"Jun 11, 2020","792.75","773.46","793.50","771.53","2.49%"
"Jun 10, 2020","773.46","769.85","773.80","762.63","0.47%"
"Jun 09, 2020","769.85","767.54","776.79","767.41","0.30%"
"Jun 08, 2020","767.54","766.79","772.57","765.54","0.10%"
"Jun 05, 2020","766.79","770.97","771.15","758.48","-0.54%"
"Jun 04, 2020","770.97","785.65","788.44","770.28","-1.87%"
"Jun 03, 2020","785.65","777.25","786.65","764.24","1.08%"
"Jun 02, 2020","777.25","792.78","792.91","777.25","-1.96%"
"Jun 01, 2020","792.78","799.05","804.20","790.75","-0.78%"
"May 29, 2020","799.05","808.85","813.84","798.55","-1.21%"
"May 28, 2020","808.85","820.18","821.07","807.33","-1.38%"
"May 27, 2020","820.18","806.83","822.21","806.03","1.65%"
"May 26, 2020","806.83","804.70","807.55","798.20","0.26%"
"May 25, 2020","804.70","808.45","809.18","801.47","-0.46%"
"May 22, 2020","808.45","803.85","808.70","801.74","0.57%"
"May 21, 2020","803.85","803.85","805.26","798.90","-0.01%"
"May 20, 2020","803.95","818.70","818.70","800.28","-1.80%"
"May 19, 2020","818.70","819.00","821.36","816.85","-0.04%"
"May 18, 2020","819.00","827.65","827.65","818.82","-1.05%"
"May 15, 2020","827.65","822.00","827.87","820.10","0.69%"
"May 14, 2020","822.00","816.63","827.02","816.49","0.66%"
"May 13, 2020","816.63","824.58","824.66","816.03","-0.96%"
"May 12, 2020","824.58","823.43","824.58","818.97","0.17%"
"May 11, 2020","823.22","825.80","830.06","822.35","-0.31%"
"May 08, 2020","825.80","836.76","838.29","823.87","-1.31%"
"May 07, 2020","836.76","842.63","842.72","833.00","-0.70%"
"May 06, 2020","842.63","835.15","842.65","834.83","0.90%"
"May 05, 2020","835.15","837.75","837.75","829.98","-0.31%"
"May 04, 2020","837.75","834.70","842.46","834.70","0.37%"
"May 01, 2020","834.70","834.70","837.01","834.24","0.00%"
"Apr 30, 2020","834.70","834.20","840.42","832.50","0.06%"
"Apr 29, 2020","834.20","844.60","845.21","833.49","-1.23%"
"Apr 28, 2020","844.60","856.85","858.84","843.75","-1.43%"
"Apr 27, 2020","856.85","857.25","861.04","854.18","-0.05%"
"Apr 24, 2020","857.25","860.01","863.02","856.99","-0.32%"
"Apr 23, 2020","860.01","858.65","862.71","853.63","0.16%"
"Apr 22, 2020","858.65","858.05","860.73","852.02","0.07%"
"Apr 21, 2020","858.05","857.05","866.07","856.93","0.12%"
"Apr 20, 2020","857.05","853.25","861.25","852.70","0.45%"
"Apr 17, 2020","853.25","852.35","855.22","842.00","0.11%"
"Apr 16, 2020","852.35","856.50","857.50","848.00","-0.48%"
"Apr 15, 2020","856.50","849.25","864.23","849.25","0.85%"
"Apr 14, 2020","849.25","849.88","852.74","841.83","-0.07%"
"Apr 13, 2020","849.88","841.38","851.92","833.15","1.01%"
"Apr 10, 2020","841.38","841.38","841.38","840.50","0.00%"
"Apr 09, 2020","841.38","844.13","846.50","835.01","-0.33%"
"Apr 08, 2020","844.13","859.10","859.10","843.95","-1.74%"
"Apr 07, 2020","859.10","850.51","859.55","833.41","1.01%"
"Apr 06, 2020","850.51","865.50","865.50","849.72","-1.80%"
"Apr 03, 2020","866.13","862.04","867.16","860.72","0.47%"
"Apr 02, 2020","862.04","865.24","866.70","856.66","-0.37%"
"Apr 01, 2020","865.24","855.85","867.89","853.95","1.10%"
"Mar 31, 2020","855.85","858.46","858.46","846.20","-0.30%"
"Mar 30, 2020","858.46","834.85","859.05","834.85","2.83%"
"Mar 27, 2020","834.85","827.55","838.28","827.55","0.88%"
"Mar 26, 2020","827.55","844.65","845.25","827.55","-2.02%"
"Mar 25, 2020","844.65","845.35","850.32","838.32","-0.08%"
"Mar 24, 2020","845.35","860.65","860.65","842.42","-1.78%"
"Mar 23, 2020","860.65","863.25","876.78","856.63","-0.30%"
"Mar 20, 2020","863.25","863.20","863.89","844.58","0.11%"
"Mar 19, 2020","862.34","867.95","878.96","856.10","-0.65%"
"Mar 18, 2020","867.95","848.25","869.58","848.25","2.32%"
"Mar 17, 2020","848.30","852.20","858.85","843.37","-0.59%"
"Mar 16, 2020","853.30","838.78","856.64","838.78","1.70%"
"Mar 13, 2020","839.00","849.42","849.42","833.87","-1.23%"
"Mar 12, 2020","849.42","841.58","858.83","841.58","0.97%"
"Mar 11, 2020","841.25","833.80","841.50","831.86","0.89%"
"Mar 10, 2020","833.80","838.84","838.84","830.26","-0.60%"
"Mar 09, 2020","838.84","827.14","849.32","827.14","1.48%"
"Mar 06, 2020","826.62","825.00","833.05","824.75","0.20%"
"Mar 05, 2020","825.00","819.84","826.99","819.84","0.62%"
"Mar 04, 2020","819.90","813.05","820.00","803.47","0.79%"
"Mar 03, 2020","813.50","812.50","815.48","800.48","0.15%"
"Mar 02, 2020","812.30","817.99","824.16","811.83","-0.69%"
"Feb 28, 2020","817.92","813.98","823.07","813.98","0.48%"
"Feb 27, 2020","813.98","812.01","818.75","811.65","0.23%"
"Feb 26, 2020","812.08","813.13","816.48","807.33","-0.13%"
"Feb 25, 2020","813.13","807.81","813.50","804.35","0.63%"
"Feb 24, 2020","808.00","803.28","813.88","803.28","0.62%"
"Feb 21, 2020","803.02","807.60","813.91","801.62","-0.56%"
"Feb 20, 2020","807.53","796.59","808.51","796.59","1.37%"
"Feb 19, 2020","796.65","797.34","800.24","795.07","-0.06%"
"Feb 18, 2020","797.10","793.60","799.65","793.50","0.49%"
"Feb 17, 2020","793.25","791.35","795.55","786.95","0.18%"
"Feb 14, 2020","791.85","794.26","797.59","789.90","-0.28%"
"Feb 13, 2020","794.05","791.03","798.23","791.03","0.37%"
"Feb 12, 2020","791.10","791.56","791.56","785.78","-0.11%"
"Feb 11, 2020","791.95","793.59","796.01","788.91","-0.24%"
"Feb 10, 2020","793.86","791.85","799.51","790.37","0.26%"
"Feb 07, 2020","791.78","783.70","795.42","783.70","1.01%"
"Feb 06, 2020","783.83","776.65","785.28","774.30","0.92%"
"Feb 05, 2020","776.65","781.65","781.65","773.83","-0.64%"
"Feb 04, 2020","781.65","787.15","787.15","778.10","-0.72%"
"Feb 03, 2020","787.35","800.18","800.35","784.07","-1.62%"
"Jan 31, 2020","800.30","797.77","802.96","796.77","0.45%"
"Jan 30, 2020","796.75","792.53","801.49","792.53","0.54%"
"Jan 29, 2020","792.50","785.62","794.05","785.62","0.86%"
"Jan 28, 2020","785.77","787.83","790.83","785.73","-0.30%"
"Jan 27, 2020","788.15","777.50","791.75","777.50","1.41%"
"Jan 24, 2020","777.21","777.02","779.38","774.92","0.09%"
"Jan 23, 2020","776.50","771.03","778.70","766.68","0.70%"
"Jan 22, 2020","771.08","774.20","774.20","770.27","-0.44%"
"Jan 21, 2020","774.50","770.28","774.50","768.35","0.48%"
"Jan 20, 2020","770.80","774.44","775.00","769.03","-0.40%"
"Jan 17, 2020","773.92","776.47","776.47","768.97","-0.32%"
"Jan 16, 2020","776.40","775.33","777.62","770.98","0.17%"
"Jan 15, 2020","775.10","769.99","776.22","768.96","0.64%"
"Jan 14, 2020","770.14","774.71","778.40","767.38","-0.57%"
"Jan 13, 2020","774.58","773.30","780.22","773.30","0.11%"
"Jan 10, 2020","773.75","768.40","774.41","766.65","0.75%"
"Jan 09, 2020","768.00","757.50","769.71","757.50","1.32%"
"Jan 08, 2020","757.98","769.33","772.38","757.05","-1.47%"
"Jan 07, 2020","769.27","772.97","776.85","767.88","-0.56%"
"Jan 06, 2020","773.60","764.46","775.28","764.46","1.21%"
"Jan 03, 2020","764.33","749.28","764.85","749.28","2.01%"
"Jan 02, 2020","749.28","752.15","756.92","749.28","-0.36%"
"Jan 01, 2020","751.95","751.95","751.95","751.95","0.00%"
"Dec 31, 2019","751.95","752.53","752.53","751.93","-0.19%"
"Dec 30, 2019","753.38","749.00","753.97","744.05","0.67%"
"Dec 27, 2019","748.35","746.05","750.00","743.00","0.31%"
"Dec 26, 2019","746.05","750.28","750.50","744.50","-0.72%"
"Dec 25, 2019","751.49","748.52","751.49","748.52","0.33%"
"Dec 24, 2019","749.03","752.85","753.03","747.55","-0.51%"
"Dec 23, 2019","752.85","757.00","758.45","751.58","-0.55%"
"Dec 20, 2019","757.00","754.12","757.00","746.53","0.38%"
"Dec 19, 2019","754.12","751.38","754.75","750.43","0.32%"
"Dec 18, 2019","751.70","756.60","757.80","750.56","-0.58%"
"Dec 17, 2019","756.10","761.30","761.30","754.15","-0.71%"
"Dec 16, 2019","761.50","764.12","766.94","760.11","-0.38%"
"Dec 13, 2019","764.40","768.37","769.92","760.45","-0.48%"
"Dec 12, 2019","768.10","769.83","771.47","765.20","-0.33%"
"Dec 11, 2019","770.63","780.75","780.75","768.45","-1.21%"
"Dec 10, 2019","780.10","772.98","780.59","772.63","0.92%"
"Dec 09, 2019","773.00","776.47","776.47","767.55","-0.48%"
"Dec 06, 2019","776.75","781.58","783.58","775.08","-0.68%"
"Dec 05, 2019","782.05","788.22","788.25","780.66","-0.72%"
"Dec 04, 2019","787.75","802.76","802.76","786.98","-1.92%"
"Dec 03, 2019","803.15","804.47","807.52","799.50","-0.07%"
"Dec 02, 2019","803.70","798.70","808.72","798.30","-0.13%"
"Nov 29, 2019","804.75","829.42","829.42","797.42","-2.92%"
"Nov 28, 2019","828.92","817.92","839.30","817.92","1.33%"
"Nov 27, 2019","818.00","798.88","821.00","797.00","2.51%"
"Nov 26, 2019","798.00","792.05","801.10","789.83","0.76%"
"Nov 25, 2019","792.02","799.61","799.61","787.12","-0.99%"
"Nov 22, 2019","799.90","796.02","801.98","792.82","0.52%"
"Nov 21, 2019","795.75","790.83","799.68","790.78","0.59%"
"Nov 20, 2019","791.11","787.50","802.91","787.50","0.46%"
"Nov 19, 2019","787.50","776.50","789.46","772.25","1.42%"
"Nov 18, 2019","776.50","771.15","780.80","762.71","0.24%"
"Nov 15, 2019","774.62","802.45","802.45","774.50","-3.58%"
"Nov 14, 2019","803.42","794.95","808.90","790.33","1.11%"
"Nov 13, 2019","794.62","780.83","800.07","780.83","1.83%"
"Nov 12, 2019","780.33","758.98","800.48","758.98","2.80%"
"Nov 11, 2019","759.05","747.69","759.12","747.69","1.49%"
"Nov 08, 2019","747.92","742.13","748.38","742.13","0.80%"
"Nov 07, 2019","742.00","740.07","743.89","735.66","0.24%"
"Nov 06, 2019","740.20","748.28","749.68","739.65","-1.04%"
"Nov 05, 2019","747.98","741.33","750.48","739.95","0.87%"
"Nov 04, 2019","741.50","741.25","741.91","732.88","0.10%"
"Nov 01, 2019","740.75","740.75","742.11","739.96","-0.11%"
"Oct 31, 2019","741.58","739.40","742.36","739.40","0.29%"
"Oct 30, 2019","739.40","728.52","742.23","727.07","1.66%"
"Oct 29, 2019","727.35","723.10","729.06","722.77","0.53%"
"Oct 28, 2019","723.52","726.83","728.48","721.12","-0.48%"
"Oct 25, 2019","727.00","724.38","729.48","722.98","0.32%"
